x,y,Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),code,ref_code
422.587208148645,0.000933484884156,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
444.331030692908,0.000656734975848,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
466.074853237171,0.000453002847694,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
487.818675781434,0.000310397082821,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
509.562498325697,0.000195899183195,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
531.30632086996,9.38256795157193E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
553.050143414223,2.88325177968412E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
574.793965958486,5.22120033387929E-06,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
70.5711272603602,2.149777297111E-06,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
92.1629103982638,1.83621314187112E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
113.754693536167,9.63611519337872E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
135.346476674071,0.000328997719274,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
156.938259811975,0.000793104959959,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
178.530042949878,0.001484099397418,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
200.121826087782,0.002335183085353,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
221.713609225685,0.00323369384402,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
243.305392363589,0.004026812881449,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
264.897175501492,0.004574002909552,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
286.488958639396,0.004796589784573,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
308.0807417773,0.004693590554146,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
329.672524915203,0.004326620513872,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
351.264308053107,0.003777628326799,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
372.85609119101,0.003131091821041,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
394.447874328914,0.002483809112252,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
416.039657466818,0.001909613556512,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
437.631440604721,0.001430180577334,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
459.223223742625,0.001037584977445,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
480.815006880528,0.000724239121143,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
502.406790018432,0.000491446682137,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
523.998573156336,0.000329826169105,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
545.590356294239,0.000203436171539,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
567.182139432143,9.56807748788966E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
588.773922570046,2.9126737289095E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
610.36570570795,5.26746817157709E-06,Magnesium (mg/d),2004,Canada excluding territories,Male,9 to 13,4,242
55.164533189161,2.30322077483098E-06,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
75.0044945590999,1.98745158869419E-05,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
94.8444559290388,0.000104303813737,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
114.684417298978,0.000354068661999,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
134.524378668917,0.000852227995003,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
154.364340038855,0.001609164618767,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
174.204301408794,0.002565392313095,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
194.044262778733,0.003581578870595,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
213.884224148672,0.00447580551789,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
233.724185518611,0.005089883215444,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
253.56414688855,0.005316023170185,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
273.404108258489,0.00514241334522,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
293.244069628428,0.004676124190011,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
313.084030998367,0.004050349725484,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
332.923992368305,0.003352540452104,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
352.763953738244,0.002653102313943,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
372.603915108183,0.002022487310994,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
392.443876478122,0.001501149041076,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
412.283837848061,0.001083582109684,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
432.123799218,0.000754742728157,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
451.963760587939,0.000516644040879,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
471.803721957878,0.000356091009743,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
491.643683327817,0.000225756144559,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
511.483644697755,0.000107625846356,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
531.323606067694,3.27504134239354E-05,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
551.163567437633,5.86245622634892E-06,Magnesium (mg/d),2015,Canada excluding territories,Male,9 to 13,4,242
42.8087402160836,2.0228030893138E-06,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
65.8387833454662,1.74583916814118E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
88.8688264748488,9.24583211218846E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
111.898869604231,0.000318194073871,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
134.928912733614,0.00077113629298,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
157.958955862997,0.001444330773366,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
180.988998992379,0.002264308546806,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
204.019042121762,0.003117703872431,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
227.049085251145,0.003857291891059,Magnesium (mg/d),2004,Canada excluding territories,Female,51 to 70,13,251
