x,y,Nutriment/Item (unité),Year,Région/Province,Sexe,Âge (en années),code,ref_code
422.492407793274,0.001462450340056,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
447.40483083349403,0.00106906703079,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
472.317253873714,0.0007641437851869998,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
497.229676913935,0.000544011363911,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
522.142099954155,0.0003873964039830001,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
547.054522994375,0.000273251467314,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
571.966946034595,0.00017502437152999999,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
596.8793690748159,8.423313443226959e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
621.7917921150361,2.5833988229797502e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
646.704215155256,4.64606610520162e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
37.805072641558205,2.14712221359585e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
60.005217650114204,1.8612913818377397e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
82.2053626586701,9.90034789991087e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
104.405507667226,0.000342163295844,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
126.605652675782,0.0008331614129730001,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
148.805797684338,0.001567946763923,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
171.005942692894,0.002458533518394,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
